matchId,date,ShotNum,PointNum,matchName,player,opp,set,game,setsWon,oppSetsWon,gamesWon,oppGamesWon,POINTSWon,oppPOINTSWon,tiebreaker,breakPoint,gamePoint,noAd,server,returner,score,oppScore,score_concat,serverScore,returnerScore,firstServeIn,marker id,Time,shot_type,shot_result,positionX,positionY,shotFromX,shotFromY,shotToX,shotToY,num of shots,last shot,winner,action,Уточнение,Доп.инфо,Дополнительно,Итоговый счет матча,player's hand,opp's hand,Счет в гейме,Serve+1 - цвет линии,Return +1 - цвет линии,Serve+1 outcome,Результат serve+1 FS - тип линии,Serve+1 FS цвет линии,Результат удара 2 - тип линии,Результат удара 2,Результат подачи -тип линии,Результат подачи -тип линии 2,1-я/2-я подача,розыгрыш на 1-й/2-й подаче,1-я подача,uniques,Направление подачи,Кто бьет,новая разбивка,Чип поинт,Чип поинт соперника,UFE короче 7 ударов,UFE соперника короче 7 ударов,7+ ударов,Игрок 1 выиграл,Ошибка с приема,Удар с лета в конкретном поинте Игрок 1,Обостряющий в конкретном поинте Игрок 1,Прием в конкретном поинте,Serve+1 в конкретном поинте,Return+1 в конкретном поинте,Группы счета.Игрок 1 должен подавать,Дата+поинт+матч,Удар с лета и подача,Обостряющий и подача,Точка игрока X для каждого приема,Точка игрока Y для каждого приема,Точка мяча X для каждого приема,Точка мяча Y для каждого приема,Точка игрока X для каждого Serve+1,Точка игрока Y для каждого Serve+1,Точка мяча X для каждого Serve+1,Точка мяча Y для каждого Serve+1,Точка игрока X для каждого Return+1,Точка игрока Y для каждого Return+1,Точка мяча X для каждого Return+1,Точка мяча Y для каждого Return+1,Return result,Return result - тип линии,Return FH/BH,Кто принимает,Serve+1 FH/BH,Return+1 FH/BH,Последний удар игрока 1,Игрок 1. Победа/поражение в матче,Название матча 3,Match Date,Игрок 1 выиграл геймов в сете,Игрок 2 выиграл геймов в сете,Game score
2653,11-12-21,2,39,Felix Auger-Aliassime v Denis Shapovalov,Felix Auger-Aliassime,Denis Shapovalov,1,8,0,0,2,4,17,21,FALSE,TRUE,FALSE,AD,1,0,15,40,15:40,15,40,TRUE,5215,2275,Backhand,Winner,608,1267,-424,-530,-476,-1026,2,Виннер,opp,Бэкхэнд,Кручёный,Виннер,Драйв,4:6 5:7,Правша (двуручный бэкхенд),Левша (одноручный бэкхенд),15:40,,,,1,3,1,Winner,3,1,,1-я подача,1,83409,,Игрок 2,4. Opp's cheap points,0,1,0,0,0,0,0,,,2;2653-39-Felix Auger-Aliassime v Denis Shapovalov,,,break point,2653-39-Felix Auger-Aliassime v Denis Shapovalov,,,,,,,,,,,,,,,,,,,,,#N/A,поражение,11/12/2021-vs Denis Shapovalov,44512,2,4,Set 1 - 2:4
2653,11-12-21,1,40,Felix Auger-Aliassime v Denis Shapovalov,Felix Auger-Aliassime,Denis Shapovalov,1,8,0,0,2,5,17,22,FALSE,FALSE,FALSE,AD,0,1,0,0,0:00,0,0,FALSE,5216,2403,1st Serve,ffe,51,1242,,,29,-662,5,Аут,player,Подача,Другой,Аут,Другой,4:6 5:7,Правша (двуручный бэкхенд),Левша (одноручный бэкхенд),0:00,,,,2,2,2,ffe,1,4,1st Serve,2-я подача,0,83410,Deuce court - T1,Игрок 2,,0,0,0,0,0,#N/A,0,,,,,,deuce,2653-40-Felix Auger-Aliassime v Denis Shapovalov,,,,,,,,,,,,,,,,,,,,,#N/A,поражение,11/12/2021-vs Denis Shapovalov,44512,2,5,Set 1 - 2:5
2653,11-12-21,1,40,Felix Auger-Aliassime v Denis Shapovalov,Felix Auger-Aliassime,Denis Shapovalov,1,8,0,0,2,5,17,22,FALSE,FALSE,FALSE,AD,0,1,0,0,0:00,0,0,FALSE,5217,2415,2nd Serve,Point continues,35,1188,,,-137,-490,5,Аут,player,Вторая подача,Другой,Переход,Другой,4:6 5:7,Правша (двуручный бэкхенд),Левша (одноручный бэкхенд),0:00,2,1,Point continues,3,2,3,Point continues,2,2,2nd Serve,2-я подача,0,83411,Deuce court - T3,Игрок 2,1. Cheap points,1,0,0,0,0,1,0,,,,,,deuce,2653-40-Felix Auger-Aliassime v Denis Shapovalov,,,279,1247,-25,-1139,94,1218,204,-908,-394,1326,443,-972,0,2,Бэкхэнд,Игрок 1,Форхэнд,Форхэнд,#N/A,поражение,11/12/2021-vs Denis Shapovalov,44512,2,5,Set 1 - 2:5
2653,11-12-21,2,40,Felix Auger-Aliassime v Denis Shapovalov,Felix Auger-Aliassime,Denis Shapovalov,1,8,0,0,2,5,17,22,FALSE,FALSE,FALSE,AD,0,1,0,0,0:00,0,0,FALSE,5218,2416,Backhand,Point continues,279,1247,-137,-490,-25,-1139,5,Аут,player,Бэкхэнд,Кручёный,Переход,Драйв,4:6 5:7,Правша (двуручный бэкхенд),Левша (одноручный бэкхенд),0:00,,,,3,2,3,Point continues,2,2,,2-я подача,0,83412,,Игрок 1,1. Cheap points,1,0,0,0,0,1,0,,,2;2653-40-Felix Auger-Aliassime v Denis Shapovalov,,,deuce,2653-40-Felix Auger-Aliassime v Denis Shapovalov,,,,,,,,,,,,,,,,,,,,,Последний удар,поражение,11/12/2021-vs Denis Shapovalov,44512,2,5,Set 1 - 2:5
2653,11-12-21,3,40,Felix Auger-Aliassime v Denis Shapovalov,Felix Auger-Aliassime,Denis Shapovalov,1,8,0,0,2,5,17,22,FALSE,FALSE,FALSE,AD,0,1,0,0,0:00,0,0,FALSE,5219,2418,Forehand,Point continues,94,1218,-25,-1139,204,-908,5,Аут,player,Форхэнд,Кручёный,Переход,Драйв,4:6 5:7,Правша (двуручный бэкхенд),Левша (одноручный бэкхенд),0:00,,,,3,2,3,Point continues,2,2,,2-я подача,0,83413,,Игрок 2,1. Cheap points,1,0,0,0,0,1,0,,,,3;2653-40-Felix Auger-Aliassime v Denis Shapovalov,,deuce,2653-40-Felix Auger-Aliassime v Denis Shapovalov,,,,,,,,,,,,,,,,,,,,,#N/A,поражение,11/12/2021-vs Denis Shapovalov,44512,2,5,Set 1 - 2:5
2653,11-12-21,4,40,Felix Auger-Aliassime v Denis Shapovalov,Felix Auger-Aliassime,Denis Shapovalov,1,8,0,0,2,5,17,22,FALSE,FALSE,FALSE,AD,0,1,0,0,0:00,0,0,FALSE,5220,2419,Forehand,Point continues,-394,1326,204,-908,443,-972,5,Аут,player,Форхэнд,Кручёный,Переход,Драйв,4:6 5:7,Правша (двуручный бэкхенд),Левша (одноручный бэкхенд),0:00,,,,1,1,1,Provoked point,2,1,,2-я подача,0,83414,,Игрок 1,1. Cheap points,1,0,0,0,0,1,0,,,,,4;2653-40-Felix Auger-Aliassime v Denis Shapovalov,deuce,2653-40-Felix Auger-Aliassime v Denis Shapovalov,,,,,,,,,,,,,,,,,,,,,Последний удар,поражение,11/12/2021-vs Denis Shapovalov,44512,2,5,Set 1 - 2:5
2653,11-12-21,5,40,Felix Auger-Aliassime v Denis Shapovalov,Felix Auger-Aliassime,Denis Shapovalov,1,8,0,0,2,5,17,22,FALSE,FALSE,FALSE,AD,0,1,0,0,0:00,0,0,FALSE,5221,2420,Forehand,Error,-532,1443,443,-972,2,0,5,Аут,player,Форхэнд,Кручёный,Аут,Драйв,4:6 5:7,Правша (двуручный бэкхенд),Левша (одноручный бэкхенд),0:00,,,,4,2,2,Forced error,1,4,,2-я подача,0,83415,,Игрок 2,1. Cheap points,0,0,0,0,0,1,0,,,,,,deuce,2653-40-Felix Auger-Aliassime v Denis Shapovalov,,,,,,,,,,,,,,,,,,,,,#N/A,поражение,11/12/2021-vs Denis Shapovalov,44512,2,5,Set 1 - 2:5
2653,11-12-21,1,41,Felix Auger-Aliassime v Denis Shapovalov,Felix Auger-Aliassime,Denis Shapovalov,1,8,0,0,2,5,18,22,FALSE,FALSE,FALSE,AD,0,1,15,0,15:00,0,15,TRUE,5223,2470,1st Serve,Winner,-42,1198,,,18,-583,1,Эйс,opp,Подача,Другой,Эйс,Другой,4:6 5:7,Правша (двуручный бэкхенд),Левша (одноручный бэкхенд),15:00,,,,1,3,1,Winner,3,1,1st Serve,1-я подача,1,83416,Ad court - T1,Игрок 2,4. Opp's cheap points,0,1,0,0,0,0,0,,,,,,other,2653-41-Felix Auger-Aliassime v Denis Shapovalov,,,,,,,,,,,,,,,,,,,,,#N/A,поражение,11/12/2021-vs Denis Shapovalov,44512,2,5,Set 1 - 2:5
2653,11-12-21,1,42,Felix Auger-Aliassime v Denis Shapovalov,Felix Auger-Aliassime,Denis Shapovalov,1,8,0,0,2,5,18,23,FALSE,FALSE,FALSE,AD,0,1,15,15,15:15,15,15,TRUE,5224,2507,1st Serve,Point continues,45,1193,,,-111,-539,3,Невынужденная ошибка,player,Подача,Другой,Переход,Другой,4:6 5:7,Правша (двуручный бэкхенд),Левша (одноручный бэкхенд),15:15,2,,Unforced error,3,2,3,Point continues,2,2,1st Serve,1-я подача,1,83417,Deuce court - T3,Игрок 2,5. Opp's fast unforced errors,0,0,0,1,0,1,0,,,,,,deuce,2653-42-Felix Auger-Aliassime v Denis Shapovalov,,,35,1365,-186,-682,368,1242,552,-1016,,,,,0,2,Бэкхэнд,Игрок 1,Форхэнд,,#N/A,поражение,11/12/2021-vs Denis Shapovalov,44512,2,5,Set 1 - 2:5
2653,11-12-21,2,42,Felix Auger-Aliassime v Denis Shapovalov,Felix Auger-Aliassime,Denis Shapovalov,1,8,0,0,2,5,18,23,FALSE,FALSE,FALSE,AD,0,1,15,15,15:15,15,15,TRUE,5225,2508,Backhand,Point continues,35,1365,-111,-539,-186,-682,3,Невынужденная ошибка,player,Бэкхэнд,Кручёный,Переход,Драйв,4:6 5:7,Правша (двуручный бэкхенд),Левша (одноручный бэкхенд),15:15,,,,3,2,3,Point continues,2,2,,1-я подача,1,83418,,Игрок 1,5. Opp's fast unforced errors,0,0,0,1,0,1,0,,,2;2653-42-Felix Auger-Aliassime v Denis Shapovalov,,,deuce,2653-42-Felix Auger-Aliassime v Denis Shapovalov,,,,,,,,,,,,,,,,,,,,,Последний удар,поражение,11/12/2021-vs Denis Shapovalov,44512,2,5,Set 1 - 2:5
